Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Atom -宏观经济观察员,@hongsv11,"https://pbs.twimg.com/media/GKOtkfubUAAWlYd?format=png&name=small, https://pbs.twimg.com/media/GKOtkfubUAAWlYd?format=png&name=small",13,54,4,12K,https://x.com/hongsv11/status/1775462807032758651,https://x.com/hongsv11,"电话会的美方通稿提到不公平贸易政策、非市场经济行为，强调国家安全

近期拜登、耶伦陆续喊话汽车危险国家安全、清洁能源搞倾销
IRA也从24年开始正式实施，中国被列为FEOC(受关注外国实体)

意味着贸易摩擦有加剧的趋势
出口新三样(光伏、锂电池、电动车)面临被加增关税的风险",Apr 3,2024-04-03T09:58:14.000Z
Clromtyee,@Clromtyee,"https://pbs.twimg.com/media/GJkIB5vaAAAr6ss?format=jpg&name=small, https://pbs.twimg.com/media/GJkIB5vaAAAr6ss?format=jpg&name=small",,1,,310,https://x.com/Clromtyee/status/1772457148032622845,https://x.com/Clromtyee,日前，日本内阁府可再生能源政策专项组的会议资料上被发现出现中国国家电网公司的水印，引发日本国内舆论哗然，有政客甚至质疑政府可再生能源政策“受中国影响”。据日本经济新闻网和《产经新闻》报道，随着争议持续发酵，日本首相岸田文雄也下场强调所谓“能源安全”。,Mar 26,2024-03-26T02:54:49.000Z
西瓜小丸子,@xiguaxiaow42458,"https://pbs.twimg.com/ext_tw_video_thumb/1775000639048990720/pu/img/4bgDR27o82R0IPfK.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1775000639048990720/pu/img/4bgDR27o82R0IPfK.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1775000639048990720/pu/img/4bgDR27o82R0IPfK.jpg",1,2,,518,https://x.com/xiguaxiaow42458/status/1775000816304390551,https://x.com/xiguaxiaow42458,欧盟集中了世界上数量最多的发达国家，有责任在应对气候变化方面多挑担子、先走几步。然而，国际社会看到的是，美欧对做出的承诺“翻烧饼”或者“小步后退”。中国清洁能源技术和产业的发展为自身和全球绿色转型提供了巨大可能性，西方不是为这一突破感到高兴，而是各种抹黑、想出各色政策壁垒企图加以限制,Apr 2,2024-04-02T03:22:27.000Z
万一,@watson_view,"https://pbs.twimg.com/media/GOkIgdYXAAAlLAp?format=jpg&name=small, https://pbs.twimg.com/media/GOkIgdYXAAAlLAp?format=jpg&name=small",,,1,81,https://x.com/watson_view/status/1794975284552224814,https://x.com/watson_view,"中国如何在绿色能源产业政策上遥遥领先。

纽约时报：美国和欧洲正在努力追赶一个善于利用政府和银行的所有手段来主宰全球制造业的竞争对手。

半个多世纪以来，对石油短缺或气候受损的担忧促使各国政府投资替代能源。

20 世纪 70",May 27,2024-05-27T06:13:51.000Z
FinGraph财经图表,@fingraph66,"https://pbs.twimg.com/media/GSrsX6faMAA7Sza?format=jpg&name=small, https://pbs.twimg.com/media/GSrsX6faMAA7Sza?format=jpg&name=small",,3,,421,https://x.com/fingraph66/status/1813521704775479594,https://x.com/fingraph66,"根据彭博新能源财经的数据，在两个主要气候政策情景下，中国的二氧化碳排放量均将在2024年开始出现逐年下降，表明中国的温室气体排放量可能已经达到峰值。可再生能源产量和电动汽车采用率的增加，已经使得今年第二季度煤炭发电量和石油消耗量大幅下降。
来源：Bloomberg",Jul 17,2024-07-17T10:30:42.000Z
FinGraph财经图表,@fingraph66,"https://pbs.twimg.com/media/GSvLR4kbEAAyuI2?format=jpg&name=small, https://pbs.twimg.com/media/GSvLR4kbEAAyuI2?format=jpg&name=small",,2,,343,https://x.com/fingraph66/status/1813766792315322468,https://x.com/fingraph66,"根据彭博新能源财经的数据，在两个主要气候政策情景下，中国的二氧化碳排放量均将在2024年开始出现逐年下降，表明中国的温室气体排放量可能已经达到峰值。可再生能源产量和电动汽车采用率的增加，已经使得今年第二季度煤炭发电量和石油消耗量大幅下降。
来源：Bloomberg",Jul 18,2024-07-18T02:44:36.000Z
东方网OrientalDaily,@ODNMalaysia,,,2,,863,https://x.com/ODNMalaysia/status/1642130646872264706,https://x.com/ODNMalaysia,中国国家主席习近平说，中国将为到马来西亚投资的中资企业提供政策支持，这包括在可再生能源、半导体和数码经济等新领域的投资。 https://orientaldaily.com.my/news/nation/2023/04/01/557006…,"Apr 1, 2023",2023-04-01T11:43:50.000Z
TTW,@poxiaoshiliming,,,,,267,https://x.com/poxiaoshiliming/status/1759502892883747188,https://x.com/poxiaoshiliming,"#A股 摩根大通资管《在（中国）经济增速放缓背景下寻找投资机会》：
预计中国在应对经济放缓的政策上将更加积极主动；
继续增持具有结构性增长潜力的板块，包括与IT、绿色能源和消费相关的板块；增持科技硬件，以应对人工智能新创造的需求，以及消费电子产品的周期性复苏。",Feb 19,2024-02-19T08:59:14.000Z
lilylily02,@t_tietietie,"https://pbs.twimg.com/ext_tw_video_thumb/1632870372650483716/pu/img/TEowiIi8S25IIMY5.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1632870372650483716/pu/img/TEowiIi8S25IIMY5.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1632870372650483716/pu/img/TEowiIi8S25IIMY5.jpg",,,,62,https://x.com/t_tietietie/status/1632870624551895040,https://x.com/t_tietietie,【新中国联邦DC星火行动】03/04/2023 美国国家公共政策研究中心21号项目开发主任唐纳·杰克逊：我们必须将美国的灵魂置于利益之上，并摆脱依赖中共的能源供应。美国可以推广电动汽车、太阳能电池板、风能等绿色能源的使用，停止对中共国的依赖。,"Mar 7, 2023",2023-03-06T22:27:48.000Z
Guo-Fong Weng܁,@riceom,,,,,62,https://x.com/riceom/status/1732020197165265118,https://x.com/riceom,"全球大约三分之一温室气体来自于中国的排放。将全球气温上升幅度控制在工业化前水平的1.5摄氏度以内的目标,很大程度上要取决于中国的气候政策
中国是可再生能源领域的先行者,28%电力来自于风电、水电和太阳能发电,但是事物往往也都还有另一面:中国对煤炭发电持续性依赖,去年中国60%电力来自火力发电
DW","Dec 5, 2023",2023-12-05T12:52:49.000Z
