Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
中村圭＠日本共産党(衆院神奈川14区),@jcp_nakamura,"https://pbs.twimg.com/media/F0y_cFwaUAU63bl?format=jpg&name=small, https://pbs.twimg.com/media/F0y_cFwaUAU63bl?format=jpg&name=small",11,19,,378,https://x.com/jcp_nakamura/status/1678928537510887428,https://x.com/jcp_nakamura,"【#神奈川14区】中村圭ウィークリーレポートです。日々、大変な暑さです。物価上昇でエアコンを使うのを制限している方もいるかもしれません。そういった方への行政の対策も必要ではないでしょうか。
この暑さ、地球温暖化も心配です。本気のCO2削減へ、再生可能エネルギーへの転換＆省エネを。","Jul 12, 2023",2023-07-12T00:45:30.000Z
再生可能エネルギー,@mi3518ki,,11,147,2,1.3K,https://x.com/mi3518ki/status/1761360290724323345,https://x.com/mi3518ki,日本、約1.6兆円の気候変動債の募集を開始 - ESG Journal,Feb 24,2024-02-24T11:59:52.000Z
コケコッコー,@fV2trB2Og6w7Y1Q,,24,116,1,1.2K,https://x.com/fV2trB2Og6w7Y1Q/status/1732578289867424210,https://x.com/fV2trB2Og6w7Y1Q,ドバイで開催されたCOP28（国連気候変動枠組み条約締約国会議）で、日本は世界の再生可能エネルギーを３倍に増やす目標に賛成した。しかし伊藤信太郎環境相の言い分は、”世界の”であり日本がではない・・つまり、他国や新興国が再エネを３倍にしろと言う物だろう。その上、新興国の排出量　続きます,"Dec 7, 2023",2023-12-07T01:50:28.000Z
再生可能エネルギー,@mi3518ki,,14,181,2,1.7K,https://x.com/mi3518ki/status/1690995435996151808,https://x.com/mi3518ki,「これまでに経験したことのない大雨」が頻発する日本　集中豪雨と地球温暖化の関係とは – HATCH ｜自然電力のメディア,"Aug 14, 2023",2023-08-14T07:55:03.000Z
NHK国際報道,@nhk_kokusainews,"https://pbs.twimg.com/media/GVGTGJAb0AAGSTO?format=jpg&name=360x360, https://pbs.twimg.com/media/GVGTGJAb0AAGSTO?format=jpg&name=360x360",4,19,1,2.5K,https://x.com/nhk_kokusainews/status/1824401066471162184,https://x.com/nhk_kokusainews,"【気候変動対策“逆行”の動き!?】

日本同様、地球温暖化の影響とも思える記録的な暑さが続くアメリカ

バイデン政権は再生可能エネルギーへの転換を進めてますが、ここにきてそれに逆行するような動きが広がっています

ＮＨＫプラスで１週間見逃し配信中
https://plus.nhk.jp/watch/st/g1_2024081610891?t=1800…

#国際報道2024",Aug 16,2024-08-16T11:01:24.000Z
Justin Hayhurst ジャスティン・ヘイハースト,@AusAmbJPN,"https://pbs.twimg.com/media/Fzstx3nacAA4GR1?format=jpg&name=small, https://pbs.twimg.com/media/Fzstx3nacAA4GR1?format=jpg&name=small",3,21,,5.7K,https://x.com/AusAmbJPN/status/1673984258749370374,https://x.com/AusAmbJPN,"西村明宏環境大臣と海洋保護や気候変動、水素、再生可能エネルギーについて会談しました。
オーストラリアと日本は環境を保護し、ネットゼロの未来を達成するために協力しています。","Jun 28, 2023",2023-06-28T09:18:43.000Z
森口良夫,@nrk9334k,"https://pbs.twimg.com/media/GIYCErbbYAAvkue?format=jpg&name=small, https://pbs.twimg.com/media/GIYCErbbYAAvkue?format=jpg&name=small",,1,,148,https://x.com/nrk9334k/status/1767102187224928277,https://x.com/nrk9334k,"第８回気候危機打開セミナー
「地球温暖化対策と原発ゼロは本当にできるのかー世界の最先端と大学での学び」
佐川清隆さん（大学教員）
再生可能エネルギーの研究者として気候ネットワークや公害・地球問題懇談会などの市民運動に取り組む。
３月２０日１４時
日本共産党東京都委員会（大塚駅）",Mar 11,2024-03-11T08:16:07.000Z
淳平,@JunkoTjunpey,,,,1,33,https://x.com/JunkoTjunpey/status/1827855497686564967,https://x.com/JunkoTjunpey,"しんぶん赤旗8/25
［再エネの出力抑制］
地球温暖化ガス回避へ
政策転換を

国連のグテレス事務総長は
｢気候崩壊が始まった｣
と各国政府に対策の加速化を強く促している
　2023/12月に閉幕した
ＣＯＰ28(国連気候変動枠組み条約第28回締約国会議)で日本も含め118ヵ国が誓約した再生しないエネルギー",Aug 26,2024-08-25T23:48:05.000Z
横須賀市議会議員大村洋子,@yokoyokosuka7,"https://pbs.twimg.com/media/Fz6QsVIakAA9kMy?format=jpg&name=small, https://pbs.twimg.com/media/Fz6QsVIakAA9kMy?format=jpg&name=small",24,45,,1.2K,https://x.com/yokoyokosuka7/status/1674935215553409024,https://x.com/yokoyokosuka7,"#横須賀石炭火力発電所
営業稼働がスタート。実際の労働者は200人くらいらしい。再生可能エネルギーを点在させれば、もっと地域で、お金が回るのに。
外国へ石炭火力発電を売り込むためにも、止めるわけにはいかない日本のお家事情。
地球温暖化に逆行し世界からますます遅れる。雨でもみんな結集した","Jul 1, 2023",2023-07-01T00:17:28.000Z
夜雨,@6402uuk61241,,2,6,1,137,https://x.com/6402uuk61241/status/1835500093451210791,https://x.com/6402uuk61241,"日本国内でカーボンニュートラルを実現するためには原子力発電を全稼働させることが十分条件になってくるんだけど，反原発は地球温暖化加速により全世界の命が苦しむことが正しいと思ってんの？
ちな再生可能エネルギーだけでは国内の電力需要に追いつかないしそもそも安定供給は実現不可能だよ",Sep 16,2024-09-16T02:04:58.000Z
岡田まなぶ（日本共産党稲城市議会議員）,@okadamanabuinag,"https://pbs.twimg.com/media/GXtazS4asAAWPQS?format=jpg&name=small, https://pbs.twimg.com/media/GXtazS4asAAWPQS?format=jpg&name=small",2,4,,141,https://x.com/okadamanabuinag/status/1836161119020593485,https://x.com/okadamanabuinag,"おはようございます。
今朝は若葉台駅で市政報告してます。
朝から暑いです。

気候変動から地球環境を守る。
省エネ推進・再生可能エネルギー大幅普及を。などお話ししてます。
#稲城市
#日本共産党",Sep 18,2024-09-17T21:51:39.000Z
竹谷とし子☆参議院議員☆公明党☆東京,@t_takeya,"https://pbs.twimg.com/media/GXyqkt0aAAAIEaA?format=jpg&name=small, https://pbs.twimg.com/media/GXyqkt0aAAAIEaA?format=jpg&name=small",28,192,4,1.9K,https://x.com/t_takeya/status/1836530359925903542,https://x.com/t_takeya,"日本若者協議会(室橋祐貴代表理事)の来訪を受け、同協議会が主催する「日本版気候若者会議」などがまとめた気候変動やエネルギー政策に関する提言を受けました。未来の気候変動の影響を受ける当事者である若者の声を大切にしていきます。

気候対策の目標示せ／若者会議が公明に政策提言 #公明新聞",Sep 19,2024-09-18T22:18:53.000Z
BLUES,@blackbluesniper,,3,22,1,640,https://x.com/blackbluesniper/status/1610168963895549953,https://x.com/blackbluesniper,SDGs、ジェンダー、多様性、地球温暖化、再生可能エネルギー、太陽光パネル、メガソーラー、Colabo、学術会議、分科会、日本医師会、日教組、共産主義、反日主義、すべて諸悪の根源。いつか、必ず鉄槌が下されよう言葉。この言葉に嫌悪感、吐き気を催すのは私だけ？,"Jan 3, 2023",2023-01-03T06:59:31.000Z
日本原子力産業協会,@JAIF_Tokyo,https://pbs.twimg.com/media/GBx4nOCbQAAf91W?format=png&name=small,2,2,,278,https://x.com/JAIF_Tokyo/status/1737608820531380437,https://x.com/JAIF_Tokyo,"◤原子力の豆知識◢

日本全体のCO2の排出量のうち、約4割は発電によるもの。地球温暖化を防ぐためには、CO2の排出を減らす必要があります。

#原子力発電 や、再生可能エネルギーは、発電時にCO2を排出しません。

原子力がすごい理由「CO2を排出しない！」はこちらhttps://jaif.or.jp/journal/feature/sdgs/reason/02.html…","Dec 21, 2023",2023-12-20T23:00:00.000Z
佐幕の鷹・青松葉,@takawamaiorita8,,3,7,,127,https://x.com/takawamaiorita8/status/1827096452692373626,https://x.com/takawamaiorita8,この世界は矛盾に溢れている。先進国はこれまで地球温暖化対策として、電気自動車（EV）や再生可能エネルギーの普及を目指してきた。だが、それらに使う原材料はアフリカや中国に頼り、採掘過程などで生じる環境汚染などに十分な関心を払ってこなかった。,Aug 24,2024-08-23T21:31:54.000Z
長谷川和史,@kzfm0123,,,,,40,https://x.com/kzfm0123/status/1837457198211125662,https://x.com/kzfm0123,"原発や石炭火力発電(日本には、石炭火力発電所が150以上あるそうです…石炭火力発電は、二酸化炭素を多量に排出します…二酸化炭素が、地球温暖化の原因です…(ーー;))に頼らずに、再生可能エネルギーに転換出来るはずです(  ￣ー￣)ノ
僕は、自民党の原子力発電所の新設の政策に反対です(￣ヘ￣メ)",Sep 21,2024-09-21T11:41:49.000Z
マツモトケイジ@ジオグラフィカ開発者,@keizi666,,11,54,2,4.5K,https://x.com/keizi666/status/1617771765018820608,https://x.com/keizi666,共産党の人が「気候変動危機対策のために原発再稼働はやめろ」って言ってるけど、CO2排出対策なら原発動かしたほうがいいんじゃね？再生可能エネルギー？日本の山を全部メガソーラーにすんのかな。,"Jan 24, 2023",2023-01-24T06:30:20.000Z
中村義博,@4iJjBDLFkDXdGvD,,,,,74,https://x.com/4iJjBDLFkDXdGvD/status/1684186026112327680,https://x.com/4iJjBDLFkDXdGvD,暑い、真夏とは言え暑すぎる。ここ十数年夏・冬が長く、春・秋が縮んでいる。地球温暖化とそれによる気候変動が原因である。化石燃料をエネルギーとする大量生産・大量消費の経済政策の結果である。日本の経済界はそれを十分反省した上でSDGsを口にすべきである。,"Jul 26, 2023",2023-07-26T12:56:53.000Z
ニッセイ基礎研究所,@nli_research,,,,,237,https://x.com/nli_research/status/1775448032324268277,https://x.com/nli_research,"予見可能性の高いエネルギー基本計画・改定はできるのか？

日本の中長期的なエネルギー政策「エネルギー基本計画」の見直し議論が、今年、本格化する。安全保障と気候変動対策を両立するため、再生…
#矢嶋康次
#エネルギー政策 #エネルギー基本計画 #再生エネルギー #日本",Apr 3,2024-04-03T08:59:31.000Z
うるま譲司(衆議院議員/日本維新の会/大阪8区）,@urumageorge,"https://pbs.twimg.com/media/Fq1_RK8akAE2sYk?format=jpg&name=360x360, https://pbs.twimg.com/media/Fq1_RK8akAE2sYk?format=jpg&name=360x360",5,18,,485,https://x.com/urumageorge/status/1634102199734370304,https://x.com/urumageorge,"本日、環境委員会にて大臣所信に対する質疑を行いました。
・ESG投資と国際基準動向について
・万博アクションプラン、万博への気候変動適応に関する項目追加について
・再生可能エネルギーについて

#うるま譲司 #日本維新の会 #大阪8区","Mar 10, 2023",2023-03-10T08:01:39.000Z
グリーンピース・ジャパン,@GreenpeaceJP,,7,8,1,1.5K,https://x.com/GreenpeaceJP/status/1617643404590215168,https://x.com/GreenpeaceJP,"／
　#電気の4分の3 を
　輸入石炭・天然ガス・石油に
　頼っている日本
＼

高騰する電気代は、化石燃料のエネルギー価格高騰を反映しています。

100%国産の再生可能エネルギーなら、気候変動対策になるだけではなく、エネルギーの安全保障にもつながります。

https://act.gp/3H1vDDL","Jan 24, 2023",2023-01-23T22:00:16.000Z
SUSTUS株式会社【公式】,@SUSTUS_X,"https://pbs.twimg.com/media/GOFba_Wa8AA06Lc?format=jpg&name=small, https://pbs.twimg.com/media/GOFba_Wa8AA06Lc?format=jpg&name=small",,13,1,74,https://x.com/SUSTUS_X/status/1792814665367789934,https://x.com/SUSTUS_X,"グリーントランスフォーメーション（GX）への取り組みは、環境負荷の低減と、経済成長を両立させるための重要な戦略です。再生可能エネルギーへのシフト等を通じ、地球温暖化の防止に貢献することが重要。日本企業におけるGXの取り組み事例も多数あります　※詳細はリプ欄へ↓
#企業公式相互フォロー",May 21,2024-05-21T07:08:19.000Z
シベール,@YY045594,,2,5,,316,https://x.com/YY045594/status/1620575594667986944,https://x.com/YY045594,#モーニングショー  バカコメンテータだらけ！日本は再生可能エネルギーにあまり向いていない！再生可能エネルギーは気候に左右されるので、四季で気候変動が大きい日本では、安定した供給は難しく、少なくとも主電源にはできない。,"Feb 1, 2023",2023-02-01T00:11:45.000Z
井上雅夫（脱・脱炭素派）,@co2tw,"https://pbs.twimg.com/media/FqXmtlraMAEQjiB?format=jpg&name=small, https://pbs.twimg.com/media/FqXmtlraMAEQjiB?format=jpg&name=small",5,15,,600,https://x.com/co2tw/status/1631964192919158785,https://x.com/co2tw,"亡国のエコ
今すぐやめよう太陽光パネル 
杉山大志
いま日本は、脱炭素のためとして再エネを最優先し、化石燃料産業を痛めつけ、自らのエネルギー供給を危うくしています。
地球温暖化による災害の激甚化など一切起きていません。今のエネルギー政策は根本的に変える必要があります。","Mar 4, 2023",2023-03-04T10:25:58.000Z
FoE Japan,@FoEJapan,https://pbs.twimg.com/media/FvPtgB5akAAfXrd?format=jpg&name=small,52,71,1,3.2K,https://x.com/FoEJapan/status/1653926790208028672,https://x.com/FoEJapan,エネルギー貧困やエネルギー危機に対応するためとして、日本はアジア各地でガス開発を進めています。しかし新規の化石燃料事業を推進することは気候変動対策と逆行します。再生可能エネルギーを中心とした社会への移行をもとめ、アジア各地で #DontGasAsia を掛け声にアクションが行われました。,"May 4, 2023",2023-05-04T00:57:29.000Z
