Entity1,Relationship,Entity2,Date,Money
Indo-Pacific,cooperation (verb: argue),the United States,n/a,n/a
the United States,partners,Indo-Pacific,n/a,n/a
Sun Cable,funded (verb: fund),Singapore,n/a,n/a
Australia,develop (verb: work),Brunei,n/a,n/a
Tokyo,efforts (verb: mirror),LNG,n/a,n/a
Indo-Pacific,cooperation,India,n/a,n/a
India,export (verb: reveal),National Hydrogen Mission,2021,n/a
New Delhi,agreement (verb: sign),Canberra,2022,n/a
The United States,supporting (verb: play),Indo-Pacific,n/a,n/a
U.S.,export (verb: commit),U.S.,March 2022,n/a
the United States,efforts (verb: coordinate),Japan,n/a,n/a
Australia,partners (verb: take),the International Energy Agency,July,n/a
Russia,transition (verb: improve),Ukraine,n/a,n/a
The U.S. Export-Import Bank,export (verb: approve),LNG,n/a,n/a
the United States,partners (verb: be),Ukraine,n/a,n/a
Russia,cooperation (verb: head),Indo-Pacific,n/a,n/a
