Entity1,Relationship,Entity2,Date,Money
COVID-19,supply (verb: expose),Russia,n/a,n/a
Ukraine,supply (verb: have),Russia,n/a,n/a
Amanda,supply (verb: know),EV,n/a,n/a
Japan,supporting (verb: play),the United States,n/a,n/a
Australia,supply (verb: think),the United States,n/a,n/a
America,interest (verb: ’),Australia,n/a,n/a
Australia,invested (verb: ’m),billions of dollars,n/a,billions of dollars
Australia,share (verb: share),U.S.,n/a,n/a
the Clean Energy Demand Initiative,shared (verb: sign),Pittsburgh,This week,n/a
The Clean Energy Demand Initiative,partner (verb: increase),Australia,n/a,n/a
Apple,interest (verb: ’m),Johnson & Johnson,n/a,up to $2.9 billion
Japan,partners (verb: work),Korea,n/a,n/a
Indonesia,support (verb: hold),Australia,annual,n/a
Australia,partner (verb: think),the United States,n/a,n/a
Australia,transition (verb: say),Australia,2050,n/a
Cabinet,engaged (verb: engage),New York,n/a,n/a
COP,engage (verb: hope),COP,n/a,n/a
Indonesia,agreements (verb: discuss),Malaysia,n/a,n/a
Australia,partner (verb: ’m),Indonesia,n/a,n/a
