Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
David McDonald  x7 dmcd2324.bsky.social,@DMcD_Advocate,,1,1,,34,https://x.com/DMcD_Advocate/status/1778341813809799334,https://x.com/DMcD_Advocate,"Exec Summary
- Australia announces new subsidy policy for renewable energy manufacturing.
- The policy aims to bolster local production of renewable energy equipment.
- It includes subsidies for manufacturing facilities producing solar panels, wind turbines, and batteries.
- The",Apr 11,2024-04-11T08:38:23.000Z
alan moran,@alan_john_moran,,3,11,1,,https://x.com/alan_john_moran/status/1311066751711371265,https://x.com/alan_john_moran,AFR shamelessly maintains its role as the dupe of the renewables subsidy seekers that keep it financially solvent.  It reports Australia cd share in 5 million new renewable energy jobs when its subsidies cost $13 billion a year and destroy low cost energy https://afr.com/companies/energy/renewables-offer-post-pandemic-jobs-boom-20200929-p56067…,"Sep 30, 2020",2020-09-29T22:14:06.000Z
Alex Wodak AM,@AlexWodak,,5,5,,,https://x.com/AlexWodak/status/1270860420119588864,https://x.com/AlexWodak,"If you want Australia’s fossil fuel subsidy, $29 billion/year, to be 10 (ten) times greater than renewable energy subsidy ($2.8 billion/year) you know who to vote for. Budget repair?","Jun 11, 2020",2020-06-10T23:28:30.000Z
Mark Brogan,@brgn_mp,,25,62,,,https://x.com/brgn_mp/status/1493880246042447873,https://x.com/brgn_mp,"Dr Helen Haines, Independent MP for Indi in Victoria has introduced a bill to parliament that seeks to include home battery systems in Australia's existing renewable energy subsidy schemes.  #renewables","Feb 16, 2022",2022-02-16T09:29:40.000Z
Malcolm Ellis,@43a6f0ce5dac4ea,,11,7,1,,https://x.com/43a6f0ce5dac4ea/status/989997883897167872,https://x.com/43a6f0ce5dac4ea,"in Australia it's the only subsidy they didn't cut..the govmnt cronies in wood pellet industry get a 'renewable energy subsidy'..ffs..
Old Growth Forests are NOT Renewable...the govmnt cannot show a single one that has been..
the industry must be outlawed globally.. https://x.com/BeAnEarthNut/status/989996199502667776…","Apr 28, 2018",2018-04-27T22:41:03.000Z
Renewables4U,@Renewables_4U,,,2,,134,https://x.com/Renewables_4U/status/1693442860279079227,https://x.com/Renewables_4U,"Large-Scale #RenewableEnergy Target market data in Australia.

The Large-scale Renewable Energy Target creates a financial incentive for the installation of renewable energy power stations. The target is designed to reduce emissions in the electricity sector and encourage","Aug 21, 2023",2023-08-21T02:00:15.000Z
Clean Energy Finance,@CleanEnergyFC,,4,4,,,https://x.com/CleanEnergyFC/status/1442818122642247684,https://x.com/CleanEnergyFC,"Australia's Energy Security Board proposed a controversial ‘coalkeeper subsidy.’ According to #cleanenergy advocates, these payments could cost consumers up to $6.9 billion a year, and undermine future #CleanEnergy investments.","Sep 28, 2021",2021-09-28T11:47:01.000Z
BusinessToday Malaysia,@BusinessTodayM1,,,,,35,https://x.com/BusinessTodayM1/status/1637309112953479169,https://x.com/BusinessTodayM1,Australia has successfully transitioned to renewable energy driven mostly by the private sector. Why? Because no subsidy!,"Mar 19, 2023",2023-03-19T04:24:46.000Z
Old Soldier,@OMGTheMess,,42,123,18,3.7K,https://x.com/OMGTheMess/status/1785131077612483055,https://x.com/OMGTheMess,The ANNUAL subsidy to renewable energy in Australia is $16 billion,Apr 30,2024-04-30T02:16:29.000Z
Rewiring Australia,@RewiringAus,,50,122,5,5.4K,https://x.com/RewiringAus/status/1653262572676878337,https://x.com/RewiringAus,"“Swapping out fossil fuelled devices and energy sources for renewable-backed electrification is the fastest, most cost effective way to decarbonise our domestic economy.""","May 2, 2023",2023-05-02T04:58:08.000Z
