Post Body,sentiment
"【#神奈川14区】中村圭ウィークリーレポートです。日々、大変な暑さです。物価上昇でエアコンを使うのを制限している方もいるかもしれません。そういった方への行政の対策も必要ではないでしょうか。
この暑さ、地球温暖化も心配です。本気のCO2削減へ、再生可能エネルギーへの転換＆省エネを。",1
日本、約1.6兆円の気候変動債の募集を開始 - ESG Journal,1
ドバイで開催されたCOP28（国連気候変動枠組み条約締約国会議）で、日本は世界の再生可能エネルギーを３倍に増やす目標に賛成した。しかし伊藤信太郎環境相の言い分は、”世界の”であり日本がではない・・つまり、他国や新興国が再エネを３倍にしろと言う物だろう。その上、新興国の排出量　続きます,1
「これまでに経験したことのない大雨」が頻発する日本　集中豪雨と地球温暖化の関係とは – HATCH ｜自然電力のメディア,1
"【気候変動対策“逆行”の動き!?】

日本同様、地球温暖化の影響とも思える記録的な暑さが続くアメリカ

バイデン政権は再生可能エネルギーへの転換を進めてますが、ここにきてそれに逆行するような動きが広がっています

ＮＨＫプラスで１週間見逃し配信中
https://plus.nhk.jp/watch/st/g1_2024081610891?t=1800…

#国際報道2024",1
"西村明宏環境大臣と海洋保護や気候変動、水素、再生可能エネルギーについて会談しました。
オーストラリアと日本は環境を保護し、ネットゼロの未来を達成するために協力しています。",1
"第８回気候危機打開セミナー
「地球温暖化対策と原発ゼロは本当にできるのかー世界の最先端と大学での学び」
佐川清隆さん（大学教員）
再生可能エネルギーの研究者として気候ネットワークや公害・地球問題懇談会などの市民運動に取り組む。
３月２０日１４時
日本共産党東京都委員会（大塚駅）",0
"しんぶん赤旗8/25
［再エネの出力抑制］
地球温暖化ガス回避へ
政策転換を

国連のグテレス事務総長は
｢気候崩壊が始まった｣
と各国政府に対策の加速化を強く促している
　2023/12月に閉幕した
ＣＯＰ28(国連気候変動枠組み条約第28回締約国会議)で日本も含め118ヵ国が誓約した再生しないエネルギー",0
"#横須賀石炭火力発電所
営業稼働がスタート。実際の労働者は200人くらいらしい。再生可能エネルギーを点在させれば、もっと地域で、お金が回るのに。
外国へ石炭火力発電を売り込むためにも、止めるわけにはいかない日本のお家事情。
地球温暖化に逆行し世界からますます遅れる。雨でもみんな結集した",1
"日本国内でカーボンニュートラルを実現するためには原子力発電を全稼働させることが十分条件になってくるんだけど，反原発は地球温暖化加速により全世界の命が苦しむことが正しいと思ってんの？
ちな再生可能エネルギーだけでは国内の電力需要に追いつかないしそもそも安定供給は実現不可能だよ",0
