Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp,translated_text,Category,processed_text,Likes_numeric,textblob_sentiment,TextBlob sentiment,TextBlob sentiment_category,bert_sentiment,bert_sentiment category,bert_sentiment_category
Atom -宏观经济观察员,@hongsv11,"https://pbs.twimg.com/media/GKOtkfubUAAWlYd?format=png&name=small, https://pbs.twimg.com/media/GKOtkfubUAAWlYd?format=png&name=small",13.0,54.0,4.0,12K,https://x.com/hongsv11/status/1775462807032758651,https://x.com/hongsv11,"电话会的美方通稿提到不公平贸易政策、非市场经济行为，强调国家安全

近期拜登、耶伦陆续喊话汽车危险国家安全、清洁能源搞倾销
IRA也从24年开始正式实施，中国被列为FEOC(受关注外国实体)

意味着贸易摩擦有加剧的趋势
出口新三样(光伏、锂电池、电动车)面临被加增关税的风险",Apr 3,2024-04-03T09:58:14.000Z,"The U.S. manuscript of the telephone meeting mentioned the unfair trade policy, non -market economy behavior, and emphasized national security

Recently, Biden and Yellen shouted that cars dangerous national safety and clean energy for dumping dumping
IRA has also been officially implemented since 24 years, and China has been listed as FeOC (received attention from foreign entities)

It means that trade friction has an intensified trend
Exporting new three (photovoltaic, lithium batteries, electric vehicles) are facing the risk of increasing tariffs",Solar Energy,u manuscript telephone meeting mentioned unfair trade policy non market economy behavior emphasized national security recently biden yellen shouted car dangerous national safety clean energy dumping dumping ira also officially implemented since year china listed feoc received attention foreign entity mean trade friction intensified trend exporting new three photovoltaic lithium battery electric vehicle facing risk increasing tariff,54.0,-0.12032828282828284,2.76,Negative,1,Very Negative,Very Negative
Clromtyee,@Clromtyee,"https://pbs.twimg.com/media/GJkIB5vaAAAr6ss?format=jpg&name=small, https://pbs.twimg.com/media/GJkIB5vaAAAr6ss?format=jpg&name=small",,1.0,,310,https://x.com/Clromtyee/status/1772457148032622845,https://x.com/Clromtyee,日前，日本内阁府可再生能源政策专项组的会议资料上被发现出现中国国家电网公司的水印，引发日本国内舆论哗然，有政客甚至质疑政府可再生能源政策“受中国影响”。据日本经济新闻网和《产经新闻》报道，随着争议持续发酵，日本首相岸田文雄也下场强调所谓“能源安全”。,Mar 26,2024-03-26T02:54:49.000Z,"A few days ago, the conference information of the Japanese Cabinet Mansion's renewable energy policy group was found watermarks from China State Grid Corporation, which caused the uproar of domestic public opinion in Japan. Some politicians even questioned that the government's renewable energy policy was ""affected by China.""According to the Japan Economic News Network and ""Sankei Shimbun"", with the continuous fermentation of disputes, Japanese Prime Minister Kishida Yoshiko also emphasized the so -called ""energy safety"".",Other,day ago conference information japanese cabinet mansion renewable energy policy group found watermark china state grid corporation caused uproar domestic public opinion japan politician even questioned government renewable energy policy affected chinaaccording japan economic news network sankei shimbun continuous fermentation dispute japanese prime minister kishida yoshiko also emphasized called energy safety,1.0,0.0,3.0,Neutral,2,Negative,Negative
西瓜小丸子,@xiguaxiaow42458,"https://pbs.twimg.com/ext_tw_video_thumb/1775000639048990720/pu/img/4bgDR27o82R0IPfK.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1775000639048990720/pu/img/4bgDR27o82R0IPfK.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1775000639048990720/pu/img/4bgDR27o82R0IPfK.jpg",1.0,2.0,,518,https://x.com/xiguaxiaow42458/status/1775000816304390551,https://x.com/xiguaxiaow42458,欧盟集中了世界上数量最多的发达国家，有责任在应对气候变化方面多挑担子、先走几步。然而，国际社会看到的是，美欧对做出的承诺“翻烧饼”或者“小步后退”。中国清洁能源技术和产业的发展为自身和全球绿色转型提供了巨大可能性，西方不是为这一突破感到高兴，而是各种抹黑、想出各色政策壁垒企图加以限制,Apr 2,2024-04-02T03:22:27.000Z,"The EU focuses on the world's most developed countries, and is responsible for picking more burdens and taking a few steps in response to climate change.However, what the international community sees is that the United States and Europe promise to ""turn the cake"" or ""step back"".The development of Chinese clean energy technology and industries has provided great possibilities for its own and global green transformation. The West is not happy for this breakthrough.",Other,eu focus world developed country responsible picking burden taking step response climate changehowever international community see united state europe promise turn cake step backthe development chinese clean energy technology industry provided great possibility global green transformation west happy breakthrough,2.0,0.1619047619047619,3.32,Neutral,2,Negative,Negative
万一,@watson_view,"https://pbs.twimg.com/media/GOkIgdYXAAAlLAp?format=jpg&name=small, https://pbs.twimg.com/media/GOkIgdYXAAAlLAp?format=jpg&name=small",,,1.0,81,https://x.com/watson_view/status/1794975284552224814,https://x.com/watson_view,"中国如何在绿色能源产业政策上遥遥领先。

纽约时报：美国和欧洲正在努力追赶一个善于利用政府和银行的所有手段来主宰全球制造业的竞争对手。

半个多世纪以来，对石油短缺或气候受损的担忧促使各国政府投资替代能源。

20 世纪 70",May 27,2024-05-27T06:13:51.000Z,"How China is far ahead of the green energy industry policy.

The New York Times: The United States and Europe are trying to catch up with a competitor who is good at using all means of government and banks to dominate the global manufacturing industry.

For more than half a century, concerns about the shortage of oil or damage to the climate have prompted governments to invest in energy.

20th century 70",Other,china far ahead green energy industry policy new york time united state europe trying catch competitor good using mean government bank dominate global manufacturing industry half century concern shortage oil damage climate prompted government invest energy th century,,0.1337121212121212,3.27,Neutral,2,Negative,Negative
FinGraph财经图表,@fingraph66,"https://pbs.twimg.com/media/GSrsX6faMAA7Sza?format=jpg&name=small, https://pbs.twimg.com/media/GSrsX6faMAA7Sza?format=jpg&name=small",,3.0,,421,https://x.com/fingraph66/status/1813521704775479594,https://x.com/fingraph66,"根据彭博新能源财经的数据，在两个主要气候政策情景下，中国的二氧化碳排放量均将在2024年开始出现逐年下降，表明中国的温室气体排放量可能已经达到峰值。可再生能源产量和电动汽车采用率的增加，已经使得今年第二季度煤炭发电量和石油消耗量大幅下降。
来源：Bloomberg",Jul 17,2024-07-17T10:30:42.000Z,"According to data from Bloomberg New Energy Finance, in the two major climatic policies, China's carbon dioxide emissions will begin to decrease year by year in 2024, indicating that China's greenhouse gas emissions may have reached its peak.The increase in renewable energy output and the use of electric vehicles have increased significantly in the second quarter of this year.
Source: Bloomberg",Other,according data bloomberg new energy finance two major climatic policy china carbon dioxide emission begin decrease year year indicating china greenhouse gas emission may reached peakthe increase renewable energy output use electric vehicle increased significantly second quarter year source bloomberg,3.0,0.1434659090909091,3.29,Neutral,3,Neutral,Neutral
FinGraph财经图表,@fingraph66,"https://pbs.twimg.com/media/GSvLR4kbEAAyuI2?format=jpg&name=small, https://pbs.twimg.com/media/GSvLR4kbEAAyuI2?format=jpg&name=small",,2.0,,343,https://x.com/fingraph66/status/1813766792315322468,https://x.com/fingraph66,"根据彭博新能源财经的数据，在两个主要气候政策情景下，中国的二氧化碳排放量均将在2024年开始出现逐年下降，表明中国的温室气体排放量可能已经达到峰值。可再生能源产量和电动汽车采用率的增加，已经使得今年第二季度煤炭发电量和石油消耗量大幅下降。
来源：Bloomberg",Jul 18,2024-07-18T02:44:36.000Z,"According to data from Bloomberg New Energy Finance, in the two major climatic policies, China's carbon dioxide emissions will begin to decrease year by year in 2024, indicating that China's greenhouse gas emissions may have reached its peak.The increase in renewable energy output and the use of electric vehicles have increased significantly in the second quarter of this year.
Source: Bloomberg",Other,according data bloomberg new energy finance two major climatic policy china carbon dioxide emission begin decrease year year indicating china greenhouse gas emission may reached peakthe increase renewable energy output use electric vehicle increased significantly second quarter year source bloomberg,2.0,0.1434659090909091,3.29,Neutral,3,Neutral,Neutral
东方网OrientalDaily,@ODNMalaysia,,,2.0,,863,https://x.com/ODNMalaysia/status/1642130646872264706,https://x.com/ODNMalaysia,中国国家主席习近平说，中国将为到马来西亚投资的中资企业提供政策支持，这包括在可再生能源、半导体和数码经济等新领域的投资。 https://orientaldaily.com.my/news/nation/2023/04/01/557006…,"Apr 1, 2023",2023-04-01T11:43:50.000Z,"Chinese President Xi Jinping said that China will provide policy support for Chinese -funded enterprises investing in Malaysia in Malaysia, including investment in new areas such as renewable energy, semiconductor and digital economy.https://orientalDaily.com.my/news/nation/2023/04/01/557006 ...",Other,chinese president xi jinping said china provide policy support chinese funded enterprise investing malaysia malaysia including investment new area renewable energy semiconductor digital economyhttpsorientaldailycommynewsnation,2.0,0.02727272727272727,3.05,Neutral,1,Very Negative,Very Negative
TTW,@poxiaoshiliming,,,,,267,https://x.com/poxiaoshiliming/status/1759502892883747188,https://x.com/poxiaoshiliming,"#A股 摩根大通资管《在（中国）经济增速放缓背景下寻找投资机会》：
预计中国在应对经济放缓的政策上将更加积极主动；
继续增持具有结构性增长潜力的板块，包括与IT、绿色能源和消费相关的板块；增持科技硬件，以应对人工智能新创造的需求，以及消费电子产品的周期性复苏。",Feb 19,2024-02-19T08:59:14.000Z,"#A Stock Morgan Datong Asset Management ""Looking for Investment Opportunities in the Background of (China) Economic Growth"":
It is expected that China will be more proactive in the policy of responding to economic slowdown;
Continue to increase holdings with structural growth potential, including sectors related to IT, green energy and consumption; increasing holding of technology hardware to meet the needs of new artificial intelligence creation, and the cyclical recovery of consumer electronics products.",Other,stock morgan datong asset management looking investment opportunity background china economic growth expected china proactive policy responding economic slowdown continue increase holding structural growth potential including sector related green energy consumption increasing holding technology hardware meet need new artificial intelligence creation cyclical recovery consumer electronics product,,0.015151515151515162,3.03,Neutral,3,Neutral,Neutral
lilylily02,@t_tietietie,"https://pbs.twimg.com/ext_tw_video_thumb/1632870372650483716/pu/img/TEowiIi8S25IIMY5.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1632870372650483716/pu/img/TEowiIi8S25IIMY5.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1632870372650483716/pu/img/TEowiIi8S25IIMY5.jpg",,,,62,https://x.com/t_tietietie/status/1632870624551895040,https://x.com/t_tietietie,【新中国联邦DC星火行动】03/04/2023 美国国家公共政策研究中心21号项目开发主任唐纳·杰克逊：我们必须将美国的灵魂置于利益之上，并摆脱依赖中共的能源供应。美国可以推广电动汽车、太阳能电池板、风能等绿色能源的使用，停止对中共国的依赖。,"Mar 7, 2023",2023-03-06T22:27:48.000Z,"[New China Federal DC Star Fire Action] 03/04/2023 Donner Jackson, Director of the National Public Policy Research Center No. 21: We must put the soul of the United States on the benefits and get rid of the Chinese Communist Party's energy supply.The United States can promote the use of green energy such as electric vehicles, solar panels, and wind energy, and stop dependence on the CCP.",Solar Energy,new china federal dc star fire action donner jackson director national public policy research center must put soul united state benefit get rid chinese communist party energy supplythe united state promote use green energy electric vehicle solar panel wind energy stop dependence ccp,,-0.009090909090909094,2.98,Negative,1,Very Negative,Very Negative
Guo-Fong Weng܁,@riceom,,,,,62,https://x.com/riceom/status/1732020197165265118,https://x.com/riceom,"全球大约三分之一温室气体来自于中国的排放。将全球气温上升幅度控制在工业化前水平的1.5摄氏度以内的目标,很大程度上要取决于中国的气候政策
中国是可再生能源领域的先行者,28%电力来自于风电、水电和太阳能发电,但是事物往往也都还有另一面:中国对煤炭发电持续性依赖,去年中国60%电力来自火力发电
DW","Dec 5, 2023",2023-12-05T12:52:49.000Z,"About one -third of the global greenhouse gas comes from China's emissions.The goal within 1.5 degrees Celsius before industrialization of global temperature rising levels is largely depends on China's climate policy to a large extent
China is a pioneer in the field of renewable energy. 28%of electricity comes from wind power, hydropower and solar power generation, but things often have another side: China depends on coal power generation. Last year, 60%of China Electric Power came from firepower power generation.
DW",Other,one third global greenhouse gas come china emissionsthe goal within degree celsius industrialization global temperature rising level largely depends china climate policy large extent china pioneer field renewable energy electricity come wind power hydropower solar power generation thing often another side china depends coal power generation last year china electric power came firepower power generation dw,,0.07142857142857142,3.14,Neutral,2,Negative,Negative
