source,target,relationship,description
1,4,Availability,Availability of solar energy in Japan
1,5,Availability,Availability of wind energy in Japan
1,6,Availability,Availability of Hydro energy in Japan
1,7,Availability,Availability of Biomass in Japan
1,8,Availability,Availability of Geothermal in Japan
1,9,Availability,Availability of Nuclear Power in Japan
1,10,Implements,Japan implements tax incentive policies to encourage investment.
1,12,Allocates,Japan allocates funds for subsidies through the budget.
12,11,Funds,Subsidies are funded through Japan's budget.
20,10,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Japan.
21,10,Utilises,"The organisation takes advantage of the tax incentive to invest in wind energy projects, hydropower projects, lithium-ion battery projects in Japan."
22,10,Utilises,"The organisation takes advantage of the tax incentive to invest in wind energy projects, biomass project in Japan."
23,10,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Japan.
24,10,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Japan.
25,10,Utilises,"The organisation takes advantage of the tax incentive to invest in wind energy projects, biomass project, geothermal projects in Japan."
26,10,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Japan.
27,10,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Japan.
28,10,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Japan.
29,10,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Japan.
30,10,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Japan.
31,10,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Japan.
32,10,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Japan.
33,10,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Japan.
34,10,Utilises,"The organisation takes advantage of the tax incentive to invest in wind energy projects in Japan, wind energy projects in Australia."
35,10,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Japan.
36,10,Utilises,"The organisation takes advantage of the tax incentive to invest in wind energy projects in Japan, wind energy projects in China, wind energy projects in Australia."
37,10,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Japan.
38,10,Utilises,The organisation takes advantage of the tax incentive to invest in wind energy projects in Japan.
39,10,Utilises,"The organisation takes advantage of the tax incentive to invest in wind energy projects, hydropower in Japan, wind energy project in China, wind energy projects in Australia."
20,13,Invest,The organisation invest in wind energy projects in Japan.
21,13,Invest,The organisation invest in wind energy projects in Japan.
22,13,Invest,The organisation invest in wind energy projects in Japan.
23,13,Invest,The organisation invest in wind energy projects in Japan.
24,13,Invest,The organisation invest in wind energy projects in Japan.
25,13,Invest,The organisation invest in wind energy projects in Japan.
26,13,Invest,The organisation invest in wind energy projects in Japan.
27,13,Invest,The organisation invest in wind energy projects in Japan.
28,13,Invest,"The organisation invest in wind energy projects, solar energy project in Japan."
29,13,Invest,The organisation invest in wind energy projects in Japan.
30,13,Invest,The organisation invest in wind energy projects in Japan.
31,13,Invest,The organisation invest in wind energy projects in Japan.
32,13,Invest,"The organisation invest in wind energy projects, solar energy project in Japan."
33,13,Invest,The organisation invest in wind energy projects in Japan.
34,13,Invest,The organisation invest in wind energy projects in Japan.
35,13,Invest,The organisation invest in wind energy projects in Japan.
36,13,Invest,The organisation invest in wind energy projects in Japan.
37,13,Invest,The organisation invest in wind energy projects in Japan.
38,13,Invest,The organisation invest in wind energy projects in Japan.
39,13,Invest,The organisation invest in wind energy projects in Japan.
40,10,Utilises,The organisation takes advantage of the tax incentive to invest in biomass projects in Japan.
41,10,Utilises,The organisation takes advantage of the tax incentive to invest in biomass projects in Japan.
42,10,Utilises,The organisation takes advantage of the tax incentive to invest in biomass projects in Japan.
43,10,Utilises,The organisation takes advantage of the tax incentive to invest in biomass projects in Japan.
44,10,Utilises,The organisation takes advantage of the tax incentive to invest in biomass projects in Japan.
45,10,Utilises,The organisation takes advantage of the tax incentive to invest in biomass projects in Japan.
46,10,Utilises,The organisation takes advantage of the tax incentive to invest in biomass projects in Japan.
47,10,Utilises,The organisation takes advantage of the tax incentive to invest in biomass projects in Japan.
48,10,Utilises,The organisation takes advantage of the tax incentive to invest in biomass projects in Japan.
22,14,Invest,The organisation invest in biomass projects in Japan.
25,14,Invest,The organisation invest in biomass projects in Japan.
40,14,Invest,The organisation invest in biomass projects in Japan.
41,14,Invest,The organisation invest in biomass projects in Japan.
42,14,Invest,The organisation invest in biomass projects in Japan.
43,14,Invest,The organisation invest in biomass projects in Japan.
44,14,Invest,The organisation invest in biomass projects in Japan.
45,14,Invest,The organisation invest in biomass projects in Japan.
46,14,Invest,The organisation invest in biomass projects in Japan.
47,14,Invest,The organisation invest in biomass projects in Japan.
48,14,Invest,The organisation invest in biomass projects in Japan.
49,10,Utilises,The organisation takes advantage of the tax incentive to invest in solar energy projects in Japan.
50,10,Utilises,The organisation takes advantage of the tax incentive to invest in solar energy projects in Japan.
51,10,Utilises,"The organisation takes advantage of the tax incentive to invest in solar energy projects, hydropower projects, lithium-ion battery projects in Japan."
52,10,Utilises,"The organisation takes advantage of the tax incentive to invest in solar energy projects, lithium-ion battery projects in Japan."
53,10,Utilises,The organisation takes advantage of the tax incentive to invest in solar energy projects in Japan.
54,10,Utilises,The organisation takes advantage of the tax incentive to invest in solar energy projects in Japan.
55,10,Utilises,The organisation takes advantage of the tax incentive to invest in solar energy projects in Japan.
56,10,Utilises,"The organisation takes advantage of the tax incentive to invest in solar energy projects in Japan, solar energy in China."
57,10,Utilises,The organisation takes advantage of the tax incentive to invest in solar energy projects in Japan.
58,10,Utilises,"The organisation takes advantage of the tax incentive to invest in solar energy projects in Japan, solar energy in China."
59,10,Utilises,The organisation takes advantage of the tax incentive to invest in solar energy projects in Japan.
60,10,Utilises,The organisation takes advantage of the tax incentive to invest in solar energy projects in Japan.
61,10,Utilises,"The organisation takes advantage of the tax incentive to invest in solar energy projects, lithium-ion battery projects in Japan."
62,10,Utilises,The organisation takes advantage of the tax incentive to invest in solar energy projects in Japan.
28,15,Invest,The organisation invest in solar energy projects in Japan.
32,15,Invest,The organisation invest in solar energy projects in Japan.
49,15,Invest,The organisation invest in solar energy projects in Japan.
50,15,Invest,The organisation invest in solar energy projects in Japan.
51,15,Invest,The organisation invest in solar energy projects in Japan.
52,15,Invest,The organisation invest in solar energy projects in Japan.
53,15,Invest,The organisation invest in solar energy projects in Japan.
54,15,Invest,The organisation invest in solar energy projects in Japan.
55,15,Invest,The organisation invest in solar energy projects in Japan.
56,15,Invest,The organisation invest in solar energy projects in Japan.
57,15,Invest,The organisation invest in solar energy projects in Japan.
58,15,Invest,The organisation invest in solar energy projects in Japan.
59,15,Invest,The organisation invest in solar energy projects in Japan.
60,15,Invest,The organisation invest in solar energy projects in Japan.
61,15,Invest,The organisation invest in solar energy projects in Japan.
62,15,Invest,The organisation invest in solar energy projects in Japan.
63,10,Utilises,The organisation takes advantage of the tax incentive to invest in hydropower projects in Japan.
64,10,Utilises,The organisation takes advantage of the tax incentive to invest in hydropower projects in Japan.
65,10,Utilises,The organisation takes advantage of the tax incentive to invest in hydropower projects in Japan.
66,10,Utilises,The organisation takes advantage of the tax incentive to invest in hydropower projects in Japan.
67,10,Utilises,The organisation takes advantage of the tax incentive to invest in hydropower projects in Japan.
68,10,Utilises,The organisation takes advantage of the tax incentive to invest in hydropower projects in Japan.
69,10,Utilises,"The organisation takes advantage of the tax incentive to invest in hydropower projects, nuclear projects in Japan, wind energy projects in Australia."
70,10,Utilises,The organisation takes advantage of the tax incentive to invest in hydropower projects in Japan.
71,10,Utilises,The organisation takes advantage of the tax incentive to invest in hydropower projects in Japan.
72,10,Utilises,The organisation takes advantage of the tax incentive to invest in hydropower projects in Japan.
73,10,Utilises,The organisation takes advantage of the tax incentive to invest in hydropower projects in Japan.
74,10,Utilises,The organisation takes advantage of the tax incentive to invest in hydropower projects in Japan.
21,16,Invest,The organisation invest in hydropower projects in Japan.
39,16,Invest,The organisation invest in hydropower projects in Japan.
51,16,Invest,The organisation invest in hydropower projects in Japan.
63,16,Invest,The organisation invest in hydropower projects in Japan.
64,16,Invest,The organisation invest in hydropower projects in Japan.
65,16,Invest,The organisation invest in hydropower projects in Japan.
66,16,Invest,The organisation invest in hydropower projects in Japan.
67,16,Invest,The organisation invest in hydropower projects in Japan.
68,16,Invest,The organisation invest in hydropower projects in Japan.
69,16,Invest,The organisation invest in hydropower projects in Japan.
70,16,Invest,The organisation invest in hydropower projects in Japan.
71,16,Invest,The organisation invest in hydropower projects in Japan.
72,16,Invest,The organisation invest in hydropower projects in Japan.
73,16,Invest,The organisation invest in hydropower projects in Japan.
74,16,Invest,The organisation invest in hydropower projects in Japan.
75,10,Utilises,The organisation takes advantage of the tax incentive to invest in lithium-ion battery projects in Japan.
76,10,Utilises,The organisation takes advantage of the tax incentive to invest in lithium-ion battery projects in Japan.
77,10,Utilises,The organisation takes advantage of the tax incentive to invest in lithium-ion battery projects in Japan.
78,10,Utilises,The organisation takes advantage of the tax incentive to invest in lithium-ion battery projects in Japan.
79,10,Utilises,The organisation takes advantage of the tax incentive to invest in lithium-ion battery projects in Japan.
21,17,Invest,The organisation invest in lithium-ion battery projects in Japan.
51,17,Invest,The organisation invest in lithium-ion battery projects in Japan.
52,17,Invest,The organisation invest in lithium-ion battery projects in Japan.
61,17,Invest,The organisation invest in lithium-ion battery projects in Japan.
75,17,Invest,The organisation invest in lithium-ion battery projects in Japan.
76,17,Invest,The organisation invest in lithium-ion battery projects in Japan.
77,17,Invest,The organisation invest in lithium-ion battery projects in Japan.
78,17,Invest,The organisation invest in lithium-ion battery projects in Japan.
79,17,Invest,The organisation invest in lithium-ion battery projects in Japan.
80,10,Utilises,The organisation takes advantage of the tax incentive to invest in geothermal projects in Japan.
81,10,Utilises,The organisation takes advantage of the tax incentive to invest in geothermal projects in Japan.
82,10,Utilises,The organisation takes advantage of the tax incentive to invest in geothermal projects in Japan.
83,10,Utilises,The organisation takes advantage of the tax incentive to invest in geothermal projects in Japan.
84,10,Utilises,The organisation takes advantage of the tax incentive to invest in geothermal projects in Japan.
85,10,Utilises,The organisation takes advantage of the tax incentive to invest in geothermal projects in Japan.
86,10,Utilises,The organisation takes advantage of the tax incentive to invest in geothermal projects in Japan.
87,10,Utilises,The organisation takes advantage of the tax incentive to invest in geothermal projects in Japan.
88,10,Utilises,The organisation takes advantage of the tax incentive to invest in geothermal projects in Japan.
89,10,Utilises,The organisation takes advantage of the tax incentive to invest in geothermal projects in Japan.
90,10,Utilises,"The organisation takes advantage of the tax incentive to invest in geothermal projects in Japan, geothermal projects in Australia."
91,10,Utilises,The organisation takes advantage of the tax incentive to invest in geothermal projects in Japan.
92,10,Utilises,The organisation takes advantage of the tax incentive to invest in geothermal projects in Japan.
93,10,Utilises,The organisation takes advantage of the tax incentive to invest in geothermal projects in Japan.
94,10,Utilises,The organisation takes advantage of the tax incentive to invest in geothermal projects in Japan.
25,18,Invest,The organisation invest in geothermal projects in Japan.
80,18,Invest,The organisation invest in geothermal projects in Japan.
81,18,Invest,The organisation invest in geothermal projects in Japan.
82,18,Invest,The organisation invest in geothermal projects in Japan.
83,18,Invest,The organisation invest in geothermal projects in Japan.
