Entity1,Relationship,Entity2,Date,Money
$8 trillion to,transition (verb: present),$11 trillion,annually,$8 trillion to
"26,000 EVs",transition (verb: participate),Indonesia,2030,"26,000 EVs"
"26,000 EVs",transition (verb: participate),Indonesia,2030,"26,000 EVs"
APEC,enhance (verb: give),U.S.,2023,
APEC,supply (verb: face),Ukraine,recent years,
APEC,supplies (verb: face),LNG,,
Amanda,supply (verb: know),EV,,
America,interest (verb: ’),Australia,,
America,agreement (verb: propose),Indo-Pacific,,
America,agreements (verb: believe),Indo-Pacific,,
America,partners (verb: view),U.S.,,
Apple,interest (verb: ’m),Johnson & Johnson,,up to $2.9 billion
Approximately US$1.2 trillion,supply (verb: focus),OECD,annually,Approximately US$1.2 trillion
Australia,enhancing (verb: mean),Indonesia,,
Australia,invested (verb: ’m),billions of dollars,,billions of dollars
Australia,share (verb: share),U.S.,,
Australia,export (verb: require),LNG,,
Australia,partner (verb: think),the United States,,
Australia,transition (verb: say),Australia,2050,
Australia,partner (verb: ’m),Indonesia,,
Australia,exports (verb: estimate),LNG,,
Australia,supply (verb: think),the United States,,
Australia,exports (verb: comprise),LNG,,
Australia,exports (verb: account),Japan,around a quarter,
Australia,enhancing (verb: play),Morrison,,
Australia,export,Australia,,
Australia,engage (verb: find),China,,
Australia,supply (verb: declare),China,,
Australia,supply (verb: diversify),Indo-Pacific,,
Australia,exports (verb: work),LNG,,
Australia,partners (verb: take),the International Energy Agency,July,
Australia,develop (verb: work),Brunei,,
Australia,exports (verb: expect),LNG,,
Bangkok,supply (verb: cool),Jakarta,,
COP,engage (verb: hope),COP,,
COVID-19,supply (verb: expose),Russia,,
Cabinet,engaged (verb: engage),New York,,
Cambodia,finance (verb: mean),Laos,,
Canada,supply (verb: have),SMR,,
China,supplies (verb: grow),Russia,,
China,transition (verb: play),the Indo-Pacific,,
China,shares (verb: seek),Mekong,,
China,funding (verb: say),MW,,
China,supply (verb: demonstrate),Japan,2010,
China,supply (verb: deliver),Indonesia,,
China,developing (verb: pledge),Japan,,
China,supplied (verb: mean),China,2018,
China,transition (verb: create),Indo-Pacific,,
China,cooperation (verb: establish),Lancang,2016.0,
China,exports,Japan,,
China,financing (verb: build),Laos,,
China,supply (verb: continue),Russia,,
China,exports (verb: fall),Japan,mid-century,
China,exports (verb: achieve),Japan,mid-century,
China,exports (verb: calibrate),Japan,,
China,imports (verb: double),Japan,,
China,Exports (verb: calibrate),Japan,,
Climate Council Senior Researcher,transition (verb: add),the Indo-Pacific,,
Department of Labor,agreements (verb: seek),IPEF,,
Efforts,Efforts (verb: map),the Ministry of Energy and Mineral Resources,,
G20,transition (verb: host),Indonesia,Next week’s,
IEA,export (verb: note),the United States,every five months,
IPEF,supply (verb: present),the United States,,
IPEF,interests (verb: hold),U.S.,,
IPEF,agreements (verb: ensure),APEC,,
India,partners (verb: suggest),Bangladesh,,
India,export (verb: reveal),National Hydrogen Mission,2021,
India,cooperation (verb: re),Mekong-Ganga,,$1 billion
India,collaboration (verb: include),Japan,,
Indo-Pacific,cooperation (verb: argue),the United States,,
Indo-Pacific,cooperation,India,,
Indonesia,support (verb: increase),Nationally Determined Contribution,September 2022,
Indonesia,efforts (verb: plan),LS Cable & System,,
Indonesia,agreement (verb: include),South Africa,last year,
Indonesia,exports (verb: impose),Japan,one-month,
Indonesia,support (verb: set),GHG,2030,
Indonesia,exports (verb: see),Malaysia,,
Indonesia,agreements (verb: discuss),Malaysia,,
Indonesia,support (verb: hold),Australia,annual,
Indonesia,supply (verb: base),EV,,
JETP,share (verb: aim),Indonesia,2030,
Jakarta,transitions (verb: expect),the Just Energy Transition Partnership,,multibillion-dollar
Japan,partners (verb: work),Korea,,
Japan,cooperation (verb: expect),Indonesia,,
Japan,exports (verb: continue),Korea,,
Japan,share (verb: look),South Korea,2030,
Japan,invest (verb: invest),South Korea,,
Japan,share (verb: announce),LNG,2030,
Japan,supporting (verb: play),the United States,,
Japan,share (verb: make),South Korea,,
Japan,supported (verb: support),Quality Infrastructure Investment,,
Japan,efforts (verb: develop),China,,
Japan,collaboration (verb: spend),Indonesia,,
Japan,partner (verb: seek),Thailand,,
LMI,promote (verb: use),Vietnam,2009.0,
LMI Ministerial Meeting,promoted (verb: push),the United States,2019.0,
LNG,supplies (verb: reduce),LNG,late 2021,
LNG,exports (verb: liquefy),the United States,,
LNG,supplies (verb: grow),the United States,,
Laos,transition (verb: drive),Cambodia,,
Laos,developed (verb: develop),Cambodia,,
Laos,developed (verb: develop),Cambodia,,
Malaysia,supply (verb: redistribute),India,,
Mekong,developing (verb: develop),Cambodia,,
Mekong,collaboration (verb: indicate),Mekong,,
Mexico,imported (verb: become),LNG,,
NDC,exports (verb: increase),LNG,2020,
NDC,exports (verb: remain),China,the current decade,
NGFS,share (verb: include),RBA,,
NGFS,exports (verb: use),Australia,,
NGFS,transition (verb: provide),China,,
New Delhi,agreement (verb: sign),Canberra,2022,
Paris,agreement (verb: achieve),China,,
Russia,transition (verb: improve),Ukraine,,
Russia,cooperation (verb: head),Indo-Pacific,,
Saudi Arabia,supply (verb: demonstrate),Japan,2020,
Singapore,export,India,the 2020–21 financial year,
Singapore,exports (verb: spur),PV,,
Sun Cable,funded (verb: fund),Singapore,,
Sydney Energy Forum,supply (verb: publish),Reenergising Indo-Pacific Relations,12-13 July,
Sydney Energy Forum,cooperation (verb: present),Australia,,
TPP,partners (verb: bring),the United States,,
Taiwan,partners (verb: consult),Taipei,,
Thailand,partnered (verb: partner),China,,
The ASEAN Power Grid,develop (verb: propose),ASEAN,,
The ASEAN Power Grid,import (verb: move),Singapore,,
The Asian Development Bank,developing (verb: estimate),$26 trillion,between 2016 and 2030,$26 trillion
The CSIS Economics Program’s,supported (verb: support),the Indo-Pacific Economic Framework,,
The Clean Energy Demand Initiative,partner (verb: increase),Australia,,
The European Union,funds (verb: announce),$341 billion,,$341 billion
The International Energy Agency,share (verb: estimate),China,the coming years,
The U.S. Export-Import Bank,export (verb: approve),LNG,,
The United States,cooperation (verb: have),Australia,,
The United States,efforts (verb: lead),China,,
The United States,interests (verb: have),the Indo-Pacific region,,
The United States,supporting (verb: play),Indo-Pacific,,
The United States,agreement (verb: win),TPP,,
The United States,agreement (verb: lead),Indo-Pacific,,
The United States,supporting (verb: support),U.S.,,
The White House’s,develop (verb: develop),IPEF,,
Tokyo,efforts (verb: mirror),LNG,,
Trans-Pacific Partnership,agreement (verb: achieve),TPP,,
U.S.,interests (verb: advance),IPEF,,
U.S.,partners (verb: discuss),U.S.,,
U.S.,exports (verb: provide),APEC,,
U.S.,fund (verb: exist),B3W,,
U.S.,engage (verb: couple),Australia,,
U.S.,partners (verb: move),the Indo-Pacific,2020,
